Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
453,AJ Johnson,20,WAS,SG,1,0,9.0,1.0,4.0,.250,0.0,2.0,.000,1.0,2.0,.500,.250,0.0,0.0,,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,
454,Dominick Barlow,21,ATL,SF,15,2,7.9,1.1,2.5,.447,0.3,0.7,.364,0.9,1.8,.481,.500,0.3,0.5,.500,0.3,1.3,1.5,0.2,0.2,0.5,0.1,0.6,2.8,
455,Caleb Houstan,22,ORL,SF,36,5,11.8,0.9,2.8,.314,0.8,2.4,.307,0.1,0.4,.357,.446,0.3,0.3,.909,0.4,0.6,1.0,0.4,0.2,0.1,0.1,1.0,2.8,
456,Mason Jones,26,SAC,SG,5,0,5.6,1.2,2.4,.500,0.2,1.2,.167,1.0,1.2,.833,.542,0.2,0.4,.500,0.4,1.2,1.6,1.8,0.0,0.0,0.2,0.2,2.8,
457,A.J. Lawson,24,TOR,SG,4,0,3.8,1.0,2.0,.500,0.5,1.3,.400,0.5,0.8,.667,.625,0.3,0.8,.333,0.3,0.5,0.8,0.0,0.0,0.0,0.0,0.0,2.8,
458,Brandon Williams,25,DAL,PG,17,0,7.1,0.9,2.4,.400,0.3,0.9,.333,0.6,1.5,.440,.463,0.6,0.8,.769,0.1,0.6,0.8,1.1,0.2,0.0,0.6,0.4,2.8,
459,Kobe Brown,25,LAC,PF,20,0,8.0,1.2,2.4,.489,0.2,0.8,.250,1.0,1.6,.613,.532,0.2,0.2,.750,0.8,1.5,2.3,0.7,0.2,0.1,0.3,0.7,2.7,
460,John Konchar,28,MEM,SG,27,3,13.7,1.0,2.4,.415,0.5,1.7,.311,0.5,0.7,.650,.523,0.2,0.2,.833,1.0,2.9,3.9,1.1,0.5,0.4,0.4,0.9,2.7,
461,Drew Peterson,25,BOS,PF,14,0,9.1,0.9,1.8,.480,0.6,1.4,.421,0.3,0.4,.667,.640,0.4,0.5,.857,0.4,1.6,1.9,0.8,0.1,0.1,0.4,0.9,2.7,
462,Jalen Pickett,25,DEN,SG,22,0,9.4,1.1,2.5,.436,0.5,1.3,.393,0.6,1.2,.481,.536,0.0,0.0,1.000,0.2,0.8,1.0,1.7,0.2,0.1,0.4,0.6,2.7,
463,Landry Shamet,27,NYK,SG,19,0,10.4,1.1,2.7,.404,0.5,1.6,.290,0.6,1.1,.571,.490,0.1,0.2,.250,0.3,0.5,0.8,0.4,0.4,0.1,0.4,0.7,2.7,
464,Jeenathan Williams,25,HOU,SG,6,0,3.5,1.2,1.5,.778,0.3,0.7,.500,0.8,0.8,1.000,.889,0.0,0.0,,0.0,0.5,0.5,0.2,0.3,0.2,0.2,0.2,2.7,
465,Josh Minott,22,MIN,SF,31,0,7.0,1.0,2.2,.471,0.2,0.9,.241,0.8,1.3,.641,.522,0.3,0.4,.818,0.2,0.8,1.1,0.4,0.4,0.3,0.2,0.9,2.6,
466,Taj Gibson,39,CHO,C,21,11,11.0,1.0,2.4,.440,0.0,0.1,.500,1.0,2.3,.438,.450,0.3,0.6,.583,1.5,2.0,3.4,0.5,0.3,0.5,0.6,1.5,2.5,
467,E.J. Liddell,24,CHI,PF,6,0,5.2,0.8,1.3,.625,0.5,1.0,.500,0.3,0.3,1.000,.813,0.3,0.3,1.000,0.2,0.7,0.8,0.5,0.2,0.2,0.3,1.3,2.5,
468,Karlo Matković,23,NOP,PF,13,1,11.3,0.9,2.2,.414,0.2,0.6,.375,0.7,1.6,.429,.466,0.4,0.4,1.000,1.2,2.2,3.4,0.7,0.5,0.8,0.8,1.5,2.5,
469,Rayan Rupert,20,POR,SG,35,0,7.9,0.9,2.2,.410,0.3,1.0,.286,0.6,1.2,.512,.474,0.4,0.5,.722,0.6,0.6,1.1,0.5,0.2,0.1,0.5,0.5,2.5,
470,Delon Wright,32,MIL,PG,26,2,15.6,0.8,3.2,.268,0.5,1.9,.245,0.4,1.3,.303,.341,0.3,0.6,.563,0.6,1.2,1.8,1.8,0.9,0.3,0.5,0.7,2.5,
471,Johnny Davis,22,WAS,SG,34,0,7.1,0.9,2.3,.410,0.2,0.9,.241,0.7,1.4,.510,.455,0.3,0.4,.600,0.3,0.8,1.1,0.3,0.4,0.2,0.2,0.5,2.4,
472,Reece Beekman,23,2TM,PG,20,0,10.9,0.9,2.5,.360,0.2,0.9,.222,0.7,1.6,.438,.400,0.3,0.5,.556,0.3,0.5,0.8,1.6,0.7,0.1,0.5,0.6,2.3,
473,Reece Beekman,23,GSW,PG,2,0,2.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,
474,Reece Beekman,23,BRK,PG,18,0,11.8,0.9,2.7,.347,0.2,1.0,.222,0.7,1.7,.419,.388,0.3,0.5,.556,0.2,0.6,0.8,1.7,0.7,0.1,0.6,0.6,2.4,
475,Vlatko Čančar,27,DEN,PF,4,0,8.5,1.0,1.8,.571,0.3,0.5,.500,0.8,1.3,.600,.643,0.0,0.0,,0.8,1.3,2.0,0.0,0.0,0.3,0.5,1.0,2.3,
476,Lester Quiñones,24,PHI,SG,4,0,4.3,1.0,2.0,.500,0.0,0.8,.000,1.0,1.3,.800,.500,0.3,0.3,1.000,0.8,0.3,1.0,0.3,0.0,0.0,1.0,0.0,2.3,
477,Duop Reath,28,POR,C,25,0,5.3,0.8,2.0,.380,0.4,1.4,.314,0.3,0.6,.533,.490,0.3,0.4,.800,0.4,0.5,0.9,0.2,0.0,0.1,0.2,0.6,2.3,
478,Collin Gillespie,25,PHO,PG,6,0,4.0,0.7,1.2,.571,0.2,0.3,.500,0.5,0.8,.600,.643,0.7,0.8,.800,0.3,0.5,0.8,0.5,0.0,0.2,0.0,0.5,2.2,
479,Kai Jones,24,LAC,C,27,0,7.6,0.9,1.3,.714,0.0,0.1,.000,0.9,1.2,.758,.714,0.3,0.4,.750,0.6,1.1,1.7,0.4,0.2,0.5,0.4,0.9,2.2,
480,Hunter Tyson,24,DEN,PF,36,0,7.7,0.7,1.8,.385,0.4,1.2,.333,0.3,0.6,.478,.492,0.4,0.6,.696,0.3,1.3,1.6,0.4,0.1,0.1,0.3,0.9,2.2,
481,Trey Jemison,25,2TM,C,21,0,9.9,0.9,1.9,.462,0.0,0.0,,0.9,1.9,.462,.462,0.4,1.2,.360,1.2,1.7,2.9,0.5,0.4,0.5,0.6,1.8,2.1,
482,Trey Jemison,25,NOP,C,16,0,10.4,0.9,2.0,.469,0.0,0.0,,0.9,2.0,.469,.469,0.5,1.3,.381,1.4,1.4,2.8,0.6,0.4,0.4,0.6,1.7,2.4,
483,Trey Jemison,25,LAL,C,5,0,8.2,0.6,1.4,.429,0.0,0.0,,0.6,1.4,.429,.429,0.2,0.8,.250,0.6,2.8,3.4,0.2,0.2,0.8,0.6,2.0,1.4,
484,Patrick Baldwin Jr.,22,WAS,SF,22,0,4.6,0.8,1.5,.515,0.5,1.0,.524,0.3,0.5,.500,.682,0.1,0.2,.500,0.2,0.8,1.0,0.1,0.1,0.1,0.2,0.2,2.1,
485,Chris Duarte,27,CHI,SG,17,0,4.4,0.7,1.5,.462,0.4,0.9,.400,0.4,0.6,.545,.577,0.4,0.5,.750,0.3,0.9,1.2,0.5,0.0,0.0,0.1,0.4,2.1,
486,Dillon Jones,23,OKC,SF,31,0,9.1,0.8,2.4,.324,0.2,1.3,.175,0.5,1.1,.500,.372,0.4,0.6,.579,0.6,1.5,2.1,0.9,0.2,0.1,0.4,1.0,2.1,
487,Christian Koloko,24,LAL,C,28,0,8.5,1.0,1.5,.643,0.0,0.1,.000,1.0,1.4,.675,.643,0.2,0.2,.833,0.9,1.2,2.1,0.4,0.3,0.3,0.3,1.1,2.1,
488,Pete Nance,24,PHI,C,7,0,9.7,0.7,2.1,.333,0.6,1.7,.333,0.1,0.4,.333,.467,0.1,0.3,.500,0.3,1.1,1.4,0.4,0.1,0.0,0.0,1.4,2.1,
489,MarJon Beauchamp,24,MIL,SF,26,0,4.7,0.7,1.8,.383,0.3,0.8,.333,0.4,1.0,.423,.457,0.3,0.5,.750,0.3,1.0,1.2,0.3,0.1,0.0,0.5,0.4,2.0,
490,Jalen Hood-Schifino,21,LAL,SG,2,0,7.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,1.0,1.0,1.000,0.5,0.0,0.5,0.5,0.0,0.5,0.5,1.5,2.0,
491,Alex Reese,25,OKC,PF,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,
492,Adama Sanogo,22,CHI,C,4,0,5.3,1.0,1.8,.571,0.0,0.0,,1.0,1.8,.571,.571,0.0,0.0,,1.3,0.3,1.5,0.3,0.0,0.0,0.3,0.3,2.0,
493,TyTy Washington Jr.,23,PHO,PG,4,0,7.0,0.8,1.5,.500,0.5,0.8,.667,0.3,0.8,.333,.667,0.0,0.0,,0.0,0.3,0.3,1.0,0.5,0.0,0.3,0.0,2.0,
494,Johnny Furphy,20,IND,SG,32,0,7.3,0.7,1.7,.382,0.3,1.0,.344,0.3,0.7,.435,.482,0.3,0.3,1.000,0.4,0.6,1.0,0.3,0.3,0.2,0.3,0.8,1.9,
495,Cory Joseph,33,ORL,PG,30,0,7.5,0.7,2.0,.350,0.5,1.4,.341,0.2,0.6,.368,.467,0.1,0.1,.500,0.2,0.6,0.8,0.8,0.4,0.1,0.4,0.6,1.9,
496,Tyler Kolek,23,NYK,PG,28,0,5.2,0.6,1.7,.383,0.4,1.0,.393,0.3,0.7,.368,.500,0.2,0.2,1.000,0.1,0.5,0.5,0.8,0.3,0.0,0.3,0.4,1.9,
497,Jordan McLaughlin,28,SAC,PG,28,0,6.8,0.6,1.6,.364,0.4,0.9,.385,0.2,0.6,.333,.477,0.4,0.6,.688,0.1,0.6,0.8,0.9,0.4,0.0,0.4,0.5,1.9,
498,Zeke Nnaji,24,DEN,PF,31,1,6.6,0.8,1.8,.456,0.1,0.6,.150,0.7,1.2,.622,.482,0.1,0.2,.429,0.3,0.7,1.0,0.1,0.1,0.4,0.2,0.7,1.9,
499,Anthony Gill,32,WAS,PF,37,0,5.6,0.6,1.2,.500,0.1,0.4,.333,0.5,0.8,.586,.557,0.5,0.8,.607,0.2,0.6,0.8,0.2,0.2,0.1,0.2,0.5,1.8,
500,Ariel Hukporti,22,NYK,C,19,0,7.8,0.7,1.1,.700,0.0,0.0,,0.7,1.1,.700,.700,0.3,0.6,.545,0.4,1.5,1.8,0.4,0.0,0.6,0.6,1.0,1.8,
501,Enrique Freeman,24,IND,PF,19,1,7.3,0.6,1.3,.480,0.1,0.3,.167,0.6,1.0,.579,.500,0.4,0.7,.538,0.3,0.7,1.0,0.4,0.1,0.1,0.3,0.9,1.7,
502,Leonard Miller,21,MIN,SF,6,0,2.7,0.3,1.3,.250,0.0,0.5,.000,0.3,0.8,.400,.250,1.0,1.0,1.000,0.5,1.0,1.5,0.0,0.2,0.0,0.3,0.3,1.7,
503,Markieff Morris,35,DAL,PF,7,0,5.9,0.7,3.1,.227,0.3,1.9,.154,0.4,1.3,.333,.273,0.0,0.0,,0.0,1.1,1.1,0.6,0.1,0.1,0.3,0.3,1.7,
504,Terrence Shannon Jr.,24,MIN,SG,12,0,4.4,0.8,1.5,.500,0.2,0.4,.400,0.6,1.1,.538,.556,0.0,0.0,,0.0,0.2,0.2,0.5,0.2,0.1,0.3,0.1,1.7,
505,Jaden Springer,22,BOS,SG,26,0,5.4,0.5,1.3,.353,0.2,0.7,.316,0.2,0.6,.400,.441,0.6,0.8,.714,0.2,0.8,0.9,0.4,0.5,0.0,0.2,0.7,1.7,
506,Tristan Thompson,33,CLE,C,26,0,8.0,0.7,1.7,.432,0.0,0.1,.000,0.7,1.6,.463,.432,0.2,0.8,.227,0.7,2.2,3.0,0.7,0.0,0.3,0.4,1.0,1.7,
507,Keshad Johnson,23,MIA,SF,10,0,5.7,0.7,1.2,.583,0.1,0.4,.250,0.6,0.8,.750,.625,0.1,0.6,.167,0.2,1.5,1.7,0.3,0.1,0.4,0.3,0.5,1.6,
508,Bryce McGowens,22,POR,SG,8,0,2.6,0.5,0.9,.571,0.0,0.3,.000,0.5,0.6,.800,.571,0.6,0.8,.833,0.1,0.0,0.1,0.1,0.1,0.0,0.4,0.3,1.6,
509,Jericho Sims,26,NYK,C,39,5,10.8,0.7,1.2,.609,0.0,0.0,,0.7,1.2,.609,.609,0.2,0.3,.615,1.3,2.0,3.3,0.6,0.2,0.3,0.5,1.2,1.6,
510,Armel Traoré,22,LAL,SF,9,0,7.4,0.7,2.1,.316,0.0,0.8,.000,0.7,1.3,.500,.316,0.2,0.8,.286,0.2,1.4,1.7,0.1,0.4,0.2,0.3,0.7,1.6,
511,Jordan Walsh,20,BOS,PF,35,1,7.9,0.6,1.6,.357,0.3,1.1,.282,0.3,0.5,.529,.455,0.1,0.3,.500,0.4,0.8,1.1,0.3,0.3,0.2,0.3,0.5,1.6,
512,Pacome Dadiet,19,NYK,SG,13,0,6.4,0.5,1.5,.300,0.4,1.1,.357,0.1,0.5,.167,.425,0.2,0.2,1.000,0.0,1.0,1.0,0.4,0.1,0.2,0.1,0.4,1.5,
513,Alex Ducas,24,OKC,SG,13,0,4.7,0.5,1.5,.368,0.5,1.1,.429,0.1,0.4,.200,.526,0.0,0.0,,0.3,0.7,1.0,0.1,0.1,0.0,0.2,0.3,1.5,
514,David Duke Jr.,25,SAS,SG,2,0,6.0,0.5,2.5,.200,0.0,0.5,.000,0.5,2.0,.250,.200,0.5,1.0,.500,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,1.5,
515,Jazian Gortman,21,DAL,PG,16,0,3.6,0.6,1.4,.391,0.3,0.7,.364,0.3,0.8,.417,.478,0.1,0.3,.500,0.1,0.3,0.3,0.4,0.1,0.1,0.3,0.6,1.5,
516,Quincy Olivari,23,LAL,PG,2,0,5.0,0.5,2.5,.200,0.5,2.5,.200,0.0,0.0,,.300,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.5,
517,Dwight Powell,33,DAL,C,33,0,7.6,0.4,0.5,.778,0.0,0.0,1.000,0.4,0.5,.765,.806,0.6,0.9,.667,0.7,1.1,1.8,0.7,0.4,0.5,0.2,1.2,1.5,
518,Matt Ryan,27,NYK,SF,17,0,3.6,0.5,1.6,.333,0.3,0.9,.313,0.2,0.6,.364,.426,0.1,0.1,1.000,0.0,0.4,0.4,0.1,0.1,0.0,0.2,0.1,1.5,
519,Colin Castleton,24,MEM,C,10,0,4.6,0.2,1.0,.200,0.0,0.4,.000,0.2,0.6,.333,.200,1.0,1.1,.909,0.3,0.6,0.9,0.0,0.1,0.1,0.1,0.6,1.4,
520,Alex Len,31,SAC,C,36,3,7.2,0.6,1.1,.537,0.0,0.2,.167,0.6,1.0,.600,.549,0.2,0.4,.538,0.7,1.1,1.8,0.8,0.2,0.5,0.3,1.0,1.4,
521,Sidy Cissoko,20,SAS,SF,17,0,3.2,0.5,1.1,.500,0.2,0.4,.429,0.4,0.6,.545,.583,0.1,0.4,.167,0.2,0.4,0.6,0.4,0.1,0.0,0.1,0.4,1.3,
522,Kessler Edwards,24,DAL,SF,22,3,8.8,0.5,1.4,.355,0.2,0.8,.235,0.3,0.6,.500,.419,0.1,0.1,1.000,0.2,1.5,1.7,0.6,0.3,0.3,0.2,1.0,1.3,
523,Adam Flagler,25,OKC,SG,19,0,4.3,0.5,2.5,.191,0.3,2.0,.158,0.2,0.5,.333,.255,0.0,0.0,,0.2,0.3,0.4,0.0,0.3,0.1,0.1,0.4,1.3,
524,Yuki Kawamura,23,MEM,PG,19,0,3.3,0.4,1.2,.364,0.2,0.8,.250,0.2,0.3,.667,.455,0.2,0.3,.667,0.0,0.4,0.4,0.7,0.1,0.0,0.2,0.4,1.3,
525,Jack McVeigh,28,HOU,PF,6,0,3.5,0.5,1.8,.273,0.3,1.3,.250,0.2,0.5,.333,.364,0.0,0.0,,0.2,0.5,0.7,0.2,0.0,0.2,0.2,0.2,1.3,
526,Luke Travers,23,CLE,SG,6,0,7.0,0.5,1.2,.429,0.0,0.5,.000,0.5,0.7,.750,.429,0.3,0.3,1.000,0.2,0.8,1.0,0.8,0.2,0.2,0.3,0.5,1.3,
527,Cam Christie,19,LAC,SG,5,0,5.8,0.4,1.8,.222,0.2,1.2,.167,0.2,0.6,.333,.278,0.2,0.4,.500,0.2,1.0,1.2,0.4,0.4,0.0,0.4,0.4,1.2,
528,JD Davison,22,BOS,PG,5,0,4.8,0.4,1.0,.400,0.2,0.6,.333,0.2,0.4,.500,.500,0.2,0.4,.500,0.0,0.4,0.4,0.2,0.2,0.0,1.2,0.2,1.2,
529,Chris Livingston,21,MIL,SF,12,1,4.8,0.4,1.1,.385,0.0,0.3,.000,0.4,0.8,.556,.385,0.3,0.5,.667,0.5,1.1,1.6,0.1,0.3,0.0,0.4,0.3,1.2,
530,Colby Jones,22,SAC,SG,24,0,5.4,0.5,1.1,.423,0.2,0.4,.400,0.3,0.7,.438,.500,0.0,0.0,,0.3,0.6,1.0,0.3,0.3,0.3,0.3,0.5,1.1,
531,Jaylen Martin,21,BRK,SF,3,0,1.7,0.3,0.7,.500,0.3,0.3,1.000,0.0,0.3,.000,.750,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,
532,Jared Rhoden,25,CHO,SG,4,0,3.0,0.5,2.0,.250,0.0,0.5,.000,0.5,1.5,.333,.250,0.0,0.0,,0.5,0.5,1.0,0.5,0.3,0.0,0.3,0.3,1.0,
533,Baylor Scheierman,24,BOS,SG,9,0,6.0,0.3,1.9,.176,0.1,1.3,.083,0.2,0.6,.400,.206,0.2,0.2,1.000,0.2,1.2,1.4,0.4,0.2,0.0,0.0,0.7,1.0,
534,Xavier Tillman Sr.,26,BOS,C,26,1,7.3,0.4,1.5,.250,0.2,0.8,.182,0.2,0.7,.333,.300,0.0,0.1,.500,0.3,1.1,1.4,0.3,0.3,0.2,0.3,0.5,1.0,
535,Maxwell Lewis,22,2TM,SF,8,0,3.8,0.4,0.9,.429,0.1,0.1,1.000,0.3,0.8,.333,.500,0.0,0.0,,0.3,0.0,0.3,0.3,0.1,0.0,0.3,0.1,0.9,
536,Maxwell Lewis,22,LAL,SF,7,0,4.1,0.3,0.9,.333,0.0,0.0,,0.3,0.9,.333,.333,0.0,0.0,,0.3,0.0,0.3,0.3,0.1,0.0,0.3,0.1,0.6,
537,Maxwell Lewis,22,BRK,SF,1,0,1.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
538,Trey Alexander,21,DEN,SG,16,0,4.3,0.3,1.2,.263,0.1,0.6,.222,0.2,0.6,.300,.316,0.1,0.1,1.000,0.0,0.3,0.3,0.4,0.1,0.1,0.1,0.4,0.9,
539,PJ Hall,22,DEN,C,12,0,2.9,0.3,0.8,.400,0.0,0.3,.000,0.3,0.5,.667,.400,0.3,0.3,.750,0.3,0.8,1.1,0.2,0.0,0.1,0.1,0.4,0.9,
540,Bronny James,20,LAL,SG,16,0,4.0,0.3,1.5,.167,0.1,0.6,.100,0.2,0.9,.214,.188,0.3,0.4,.714,0.1,0.4,0.4,0.4,0.3,0.1,0.3,0.4,0.9,
541,Jalen Bridges,23,PHO,SF,5,0,5.0,0.2,0.8,.250,0.2,0.8,.250,0.0,0.0,,.375,0.2,0.4,.500,0.0,0.6,0.6,0.0,0.0,0.0,0.8,0.0,0.8,
542,D.J. Carton,24,TOR,SG,4,0,8.3,0.3,1.8,.143,0.0,0.8,.000,0.3,1.0,.250,.143,0.3,0.3,1.000,0.0,1.0,1.0,0.8,0.5,0.0,1.0,0.3,0.8,
543,Ulrich Chomche,19,TOR,PF,6,0,3.3,0.3,0.5,.667,0.0,0.0,,0.3,0.5,.667,.667,0.2,0.3,.500,0.5,0.5,1.0,0.3,0.0,0.0,0.3,0.7,0.8,
544,Josh Christopher,23,MIA,SG,8,0,3.5,0.3,0.9,.286,0.0,0.1,.000,0.3,0.8,.333,.286,0.3,0.5,.500,0.0,0.4,0.4,0.5,0.0,0.1,0.5,0.1,0.8,
545,Isaiah Crawford,23,SAC,SF,4,0,3.5,0.3,0.8,.333,0.0,0.3,.000,0.3,0.5,.500,.333,0.3,0.5,.500,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.8,
546,RayJ Dennis,23,IND,PG,6,0,1.8,0.2,0.5,.333,0.2,0.5,.333,0.0,0.0,,.500,0.3,0.3,1.000,0.2,0.3,0.5,0.2,0.3,0.0,0.3,0.2,0.8,
547,PJ Dozier,28,MIN,SG,9,0,3.9,0.2,0.3,.667,0.2,0.3,.667,0.0,0.0,,1.000,0.1,0.7,.167,0.1,0.4,0.6,0.6,0.1,0.0,0.1,0.3,0.8,
548,Joe Ingles,37,MIN,SF,12,0,4.8,0.3,0.8,.444,0.2,0.4,.400,0.2,0.3,.500,.556,0.0,0.0,,0.2,0.2,0.3,1.1,0.1,0.0,0.4,0.7,0.8,
549,James Johnson,37,IND,PF,10,0,3.2,0.4,0.9,.444,0.0,0.3,.000,0.4,0.6,.667,.444,0.0,0.1,.000,0.0,0.5,0.5,0.4,0.0,0.2,0.4,0.4,0.8,
550,Liam Robbins,25,MIL,C,13,0,4.4,0.2,0.6,.250,0.0,0.2,.000,0.2,0.5,.333,.250,0.4,0.8,.500,0.5,0.4,0.9,0.2,0.2,0.2,0.5,0.7,0.7,
551,Cui Yongxi,21,BRK,SG,5,0,2.0,0.2,1.4,.143,0.0,0.6,.000,0.2,0.8,.250,.143,0.2,0.4,.500,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.6,
552,Spencer Jones,23,DEN,SF,8,0,2.5,0.3,0.9,.286,0.1,0.6,.200,0.1,0.3,.500,.357,0.0,0.0,,0.1,0.4,0.5,0.0,0.3,0.0,0.1,0.3,0.6,
553,Garrett Temple,38,TOR,SG,17,0,3.9,0.2,0.9,.200,0.1,0.4,.143,0.1,0.5,.250,.233,0.2,0.2,1.000,0.1,0.5,0.6,0.6,0.4,0.1,0.2,0.4,0.6,
554,Stanley Umude,25,MIL,SG,19,0,3.2,0.2,1.1,.200,0.1,0.6,.182,0.1,0.5,.222,.250,0.1,0.2,.500,0.2,0.5,0.7,0.1,0.2,0.1,0.1,0.3,0.6,
555,Tristen Newton,23,2TM,SG,6,0,1.5,0.2,1.0,.167,0.0,0.5,.000,0.2,0.5,.333,.167,0.2,0.2,1.000,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.5,0.5,
556,Tristen Newton,23,IND,SG,5,0,1.6,0.2,1.2,.167,0.0,0.6,.000,0.2,0.6,.333,.167,0.2,0.2,1.000,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,0.6,
557,Tristen Newton,23,MIN,SG,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,
558,Jacob Toppin,24,NYK,SF,16,0,3.1,0.2,0.6,.300,0.0,0.1,.000,0.2,0.5,.375,.300,0.0,0.0,,0.1,0.6,0.7,0.3,0.1,0.0,0.1,0.2,0.4,
559,Malevy Leons,25,OKC,SF,6,0,3.5,0.0,0.3,.000,0.0,0.2,.000,0.0,0.2,.000,.000,0.3,0.7,.500,0.2,0.3,0.5,0.2,0.0,0.0,0.2,0.7,0.3,
560,Daishen Nix,22,MIN,PG,3,0,4.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.3,0.7,.500,0.0,1.3,1.3,1.0,0.0,0.0,1.3,0.3,0.3,
561,Emoni Bates,21,CLE,SF,5,0,3.8,0.0,1.4,.000,0.0,1.2,.000,0.0,0.2,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.4,0.0,
562,Keion Brooks Jr.,24,NOP,,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
563,Harrison Ingram,22,SAS,SF,2,0,5.5,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,
564,Daniss Jenkins,23,DET,PG,4,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,
565,Bobi Klintman,21,DET,SF,3,0,2.7,0.0,0.7,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.7,0.0,
566,Mac McClung,26,ORL,SG,1,0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,
567,Justin Minaya,25,POR,SF,6,0,3.0,0.0,0.2,.000,0.0,0.0,,0.0,0.2,.000,.000,0.0,0.0,,0.3,0.2,0.5,0.3,0.2,0.0,0.0,0.5,0.0,
568,Riley Minix,24,SAS,SF,1,0,7.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
569,Chuma Okeke,26,PHI,PF,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
570,Zyon Pullin,23,MEM,SG,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
571,Cole Swider,25,DET,SF,2,0,6.5,0.0,2.5,.000,0.0,2.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,